subject_id,enrolled_date,sex_status,spay_neuter_date,study_status,birth_date,withdrawn_date,inactive_date,death_date,is_euthanized,coat_color
grlsDOPYCBCC,2013-05,Neutered Male,2013-10,Enrolled,2012-10,,,,0.0,light golden
grlsFBHIU9HH,2013-05,Neutered Male,2015-04,Enrolled Deceased,2012-09,,,2022-11,1.0,dark golden
grls59085811,2013-05,Neutered Male,2012-10,Inactive,2011-12,,2016-03,,0.0,dark golden
grls75DYUD22,2013-04,Intact Male,,Enrolled Deceased,2011-08,,,2023-12,1.0,light golden
grlsVCUEMCWW,2013-05,Neutered Male,2014-05,Enrolled,2012-05,,,,0.0,medium golden
grls487UKJ88,2013-05,Spayed Female,2012-04,Enrolled Deceased,2011-09,,,2022-12,0.0,light golden
grlsTOWNL9UU,2013-05,Spayed Female,2014-06,Enrolled Deceased,2011-04,,,2016-11,1.0,light golden
grls50POPX,2013-05,Neutered Male,2013-01,Enrolled Deceased,2011-07,,,2024-07,1.0,medium golden
grlsBAXI8KCC,2013-05,Intact Female,,Enrolled Deceased,2012-04,,,2013-06,0.0,blonde
grlsWR34FTYY,2013-04,Neutered Male,2013-08,Inactive,2012-03,,2018-04,,0.0,light golden
grlsHJOG0OJJ,2013-05,Spayed Female,2019-04,Enrolled Deceased,2012-10,,,2023-04,1.0,blonde
grlsJESCC255,2013-05,Neutered Male,2013-02,Withdrawn,2012-10,2018-04,,,0.0,blonde
grls4Z3O47CC,2013-04,Spayed Female,2012-03,Enrolled Deceased,2011-08,,,2020-09,1.0,light golden
grlsRP2416JJ,2013-05,Spayed Female,2014-01,Enrolled Deceased,2012-11,,,2022-09,1.0,blonde
grls83VQG44,2013-05,Neutered Male,2012-10,Enrolled Deceased,2011-11,,,2022-09,1.0,blonde
grlsJPSLZI99,2013-05,Spayed Female,2012-08,Enrolled Deceased,2012-02,,,2022-09,1.0,light golden
grlsDI1TMMZZ,2013-05,Intact Female,,Enrolled Deceased,2011-12,,,2017-02,0.0,dark golden
grlsC33PECFF,2013-05,Neutered Male,2012-07,Enrolled Deceased,2011-09,,,2023-09,0.0,blonde
grlsXC9YA8WW,2013-05,Spayed Female,2012-06,Enrolled Deceased,2011-11,,,2021-11,1.0,light golden
grls2E2MQW66,2013-05,Intact Male,,Enrolled Deceased,2012-10,,,2020-01,1.0,medium golden
