subject_id,year_in_study,record_date,substance,PoisonControlLastYear,PoisonControlMoreThanTwice,lifespan
grlsKK91TIOO,0,2014-09,daylilies,1,0,10.247775496235455
grlsKK91TIOO,1,2015-11,"daylilies, wild mushroom - unspecified",1,0,10.247775496235455
grlsKLCB9Q55,1,2015-05,medication - otc cold medication,1,0,
grlsKLCB9Q55,2,2016-05,dark chocolate (3 oz.),1,0,
grlsKLCB9Q55,3,2017-06,xylitol,1,0,
grlsKLCB9Q55,5,2019-06,"medication - aleve, medication - codeine, medication - fiorinal, medication - tylenol",1,0,
grlsKLOJK533,1,2014-12,medication - albuterol inhaler,1,0,
grlsKLOJK533,3,2016-11,clothing - underwear,1,0,
grlsKN18HQ44,1,2015-01,ballpoint pen,1,0,11.668720054757015
grlsKOFQ3044,1,2013-06,"medication - aspirin (325mg x 10), medication - fish oil (1000mg x 10), medication - glucosamine (1500mg x 10), medication - iron (65mg x 5), medication - msm (1500mg x 5), medication - multivitamin (x5), medication - st john's-wort (325mg x 15), medication - vitamin d3 (2000iu x 5)",1,0,9.169062286105408
grlsKQI3IJII,5,2019-01,fig newton,1,0,8.164271047227926
grlsKT7FHXSS,6,2019-01,chocolate,1,0,10.505133470225873
grlsKTQEYMKK,0,2015-01,medication - ibuprofen,1,0,8.999315537303216
grlsKTQEYMKK,1,2016-01,medication - ibuprofen,1,0,8.999315537303216
grlsKYFC2IPP,0,2014-04,marijuana/thc,1,0,9.664613278576317
grlsL6EF95KK,0,2014-06,children's toy,1,0,
grlsLJ2VI277,1,2015-08,plastic,1,0,9.242984257357975
grlsLKJCPSS,0,2013-11,plastic,1,0,10.666666666666666
grlsLKJCPSS,2,2015-12,unknown,1,0,10.666666666666666
grlsLKJCPSS,6,2020-01,plastic,1,0,10.666666666666666
grlsLLJFP811,3,2015-11,fertilizer,1,0,7.000684462696783
grlsLMEPJC99,7,2021-05,plantain lilies,1,0,
grlsLO4BVHRR,6,2019-01,grapes,1,0,10.335386721423683
grlsLO4BVHRR,7,2020-02,grapes,1,0,10.335386721423683
grlsLT1SZEDD,2,2016-01,knitted blanket,1,0,
grlsLZHJ6B33,1,2014-12,diluted bleach,1,0,9.91375770020534
grlsM0N38MNN,2,2017-03,"chocolate, raisins",1,0,
grlsM21R3M55,1,2016-01,medication - lisinopril,1,0,
grlsM2WNE1LL,0,2014-11,dryer sheet,1,0,
grlsM4XBMROO,1,2015-06,mercury,1,0,7.663244353182751
grlsM5FXIJDD,0,2013-04,tree nuts,1,1,11.832991101984941
grlsM5FXIJDD,1,2014-05,unknown,1,0,11.832991101984941
grlsM5FXIJDD,3,2016-04,chocolate,1,0,11.832991101984941
grlsM5PCGBQQ,0,2013-04,"peace lily, wood - redwood",1,0,
grlsM80CY500,3,2016-07,raisins,1,0,
grlsM866LITT,0,2013-01,"brillo pad, soap",1,0,
grlsM866LITT,1,2014-01,brillo pad,1,0,
grlsM8MSLAAA,0,2014-11,wild mushroom - unspecified,1,0,10.335386721423683
grlsM8MSLAAA,1,2015-11,bird suet,1,0,10.335386721423683
grlsMAGUW399,0,2014-08,unknown,1,0,
grlsMDNH1OCC,0,2014-05,"clothing - rawhide shoe lace, polyester",1,0,
grlsMDNH1OCC,2,2016-09,unknown,1,0,
grlsMDNH1OCC,4,2018-09,fruit pit - cherry,1,0,
grlsMH77FLGG,2,2016-01,wood - unspecified,1,0,10.417522245037645
grlsMH77FLGG,3,2017-01,ice/heat pack,1,0,10.417522245037645
grlsMJNP84JJ,0,2014-10,"medication - crestor, weeds",1,0,10.915811088295689
grlsMKEVKDZZ,1,2013-12,plastic,1,0,6.91854893908282
grlsMM1XVLNN,1,2015-05,unknown,1,0,
grlsMM1XVLNN,3,2017-06,medication - coprophagia,1,0,
grlsMOSV1VKK,1,2014-04,fiberglass insulation,1,0,
grlsMU7MCXRR,0,2014-12,rodent poison,1,0,10.587268993839835
grlsMX63K0SS,0,2014-03,rodent poison,1,0,
grlsMXRC2E11,1,2014-04,insect poison,1,0,10.327173169062286
grlsN43KG77,2,2015-04,sponge,1,0,8.999315537303216
grlsN4MLY555,6,2019-07,dark chocolate,1,0,11.082819986310746
grlsN4PGDWWW,0,2013-11,glass,1,0,
grlsN717FOBB,0,2014-05,bandage,1,0,
grlsN717FOBB,2,2016-07,medication - advil,1,0,
grlsNCBOMVQQ,6,2021-01,onion,1,1,
grlsNFRXOK00,1,2014-03,bone,1,0,11.496235455167694
grlsNGNUZ033,0,2014-11,wild mushroom - unspecified,1,0,
grlsNHFVIJ33,5,2018-08,marijuana/thc,1,0,12.41889117043121
grlsNHFVIJ33,6,2019-07,marijuana/thc,1,0,12.41889117043121
grlsNJN1N711,2,2016-02,bone,1,0,10.91854893908282
grlsNP2GOS33,0,2014-04,medication - advil,1,0,
grlsNP2GOS33,1,2015-06,unknown,1,0,
grlsNPCJ5533,0,2013-02,medication - cycloset (x1),1,0,11.000684462696784
grlsNPNE07BB,1,2014-10,insect poison,1,0,
grlsNQJFUC77,0,2014-03,shoe wax,1,0,
grlsNXR9T1OO,0,2013-05,castor bean,1,0,10.247775496235455
grlsNZ3N1DGG,0,2015-01,mold,1,0,
grlsO2Z2E677,2,2016-11,medication - indoxacarb,1,0,
