subject_id,year_in_study,record_date,state,travel_length_weeks,travel_start_month,regular_work_visits,work_visit_hours,work_visit_days,type,travel_mode,travel_mode_other,country,region_name
grls0ODDD7QQ,3,2016-05,SC,9.0,June,0,0,0,other,Car,,US,South
grls0ODDD7QQ,3,2016-05,SC,1.0,August,0,0,0,other,Car,,US,South
grls0ODDD7QQ,3,2016-05,SC,2.0,April,0,0,0,other,Car,,US,South
grls0ODDD7QQ,3,2016-05,SC,0,,0,0,0,other,Unknown,,US,South
grls0ODDD7QQ,3,2016-05,MA,9.0,June,0,0,0,other,Car,,US,Northeast
grls0ODDD7QQ,3,2016-05,MA,1.0,August,0,0,0,other,Car,,US,Northeast
grls0ODDD7QQ,3,2016-05,MA,2.0,April,0,0,0,other,Car,,US,Northeast
grls0ODDD7QQ,3,2016-05,MA,0,,0,0,0,other,Unknown,,US,Northeast
grls0ODDD7QQ,4,2017-04,MA,2.0,April,0,0,0,other,Car,,US,Northeast
grls0ODDD7QQ,4,2017-04,MA,2.0,October,0,0,0,other,Car,,US,Northeast
grls0ODDD7QQ,4,2017-04,MA,0,,0,0,0,other,Unknown,,US,Northeast
grls0ODDD7QQ,4,2017-04,MA,2.0,April,0,0,0,other,Car,,US,Northeast
grls0ODDD7QQ,4,2017-04,MA,2.0,October,0,0,0,other,Car,,US,Northeast
grls0ODDD7QQ,4,2017-04,MA,0,,0,0,0,other,Unknown,,US,Northeast
grls0ODDD7QQ,5,2018-03,MA,1.0,April,0,0,0,other,Car,,US,Northeast
grls0ODDD7QQ,5,2018-03,MA,1.0,October,0,0,0,other,Car,,US,Northeast
grls0ODDD7QQ,5,2018-03,MA,2.0,July,0,0,0,other,Car,,US,Northeast
grls0ODDD7QQ,5,2018-03,MA,0,,0,0,0,other,Unknown,,US,Northeast
grls0ODDD7QQ,5,2018-03,MA,1.0,April,0,0,0,other,Car,,US,Northeast
grls0ODDD7QQ,5,2018-03,MA,1.0,October,0,0,0,other,Car,,US,Northeast
grls0ODDD7QQ,5,2018-03,MA,2.0,July,0,0,0,other,Car,,US,Northeast
grls0ODDD7QQ,5,2018-03,MA,0,,0,0,0,other,Unknown,,US,Northeast
grls0ODDD7QQ,5,2018-03,MA,1.0,April,0,0,0,other,Car,,US,Northeast
grls0ODDD7QQ,5,2018-03,MA,1.0,October,0,0,0,other,Car,,US,Northeast
grls0ODDD7QQ,5,2018-03,MA,2.0,July,0,0,0,other,Car,,US,Northeast
grls0ODDD7QQ,5,2018-03,MA,0,,0,0,0,other,Unknown,,US,Northeast
grls0ODDD7QQ,6,2019-04,MA,2.0,April,0,0,0,other,Car,,US,Northeast
grls0ODDD7QQ,6,2019-04,MA,0,,0,0,0,other,Unknown,,US,Northeast
grls0ODDD7QQ,7,2020-04,MA,2.0,April,0,0,0,other,Car,,US,Northeast
grls0ODDD7QQ,7,2020-04,MA,0,,0,0,0,other,Unknown,,US,Northeast
grls0OGJIE22,2,2015-12,KS,1.0,December,0,0,0,other (possibly kennel),Unknown,,US,Midwest
grls0OGJIE22,3,2017-01,KS,1.0,December,0,0,0,other,Car,,US,Midwest
grls0OGJIE22,3,2017-01,KS,2.0,July,0,0,0,other,Car,,US,Midwest
grls0OGJIE22,3,2017-01,KS,1.0,February,0,0,0,other,Car,,US,Midwest
