subject_id,year_in_study,record_date,spent_most_time_day,indoor_crate_flooring,indoor_carpet_flooring,indoor_hardwood_flooring,indoor_cement_flooring,indoor_tile_flooring,indoor_linoleum_flooring,indoor_laminate_flooring,indoor_furniture_flooring,indoor_other_flooring,indoor_other_flooring_specify,day_outdoor_garage,day_outdoor_kennel,day_outdoor_fenced,day_outdoor_chain_or_lead,day_outdoor_other_percentage,day_outdoor_other_percentage_specify,day_outdoor_total_percentage,furniture_type_wood,furniture_type_leather,furniture_type_upholstered,furniture_type_other,furniture_type_other_specify
grlsKSLZ3V77,1,2015-03,Both,0,1,0,1,1,1,0,1,0,,0.0,0.0,75.0,0.0,25.0,open space,100.0,0,0,0,1,fabric
grlsKSLZ3V77,2,2016-03,Both,0,1,0,0,0,1,0,1,0,,0.0,0.0,80.0,5.0,15.0,open space,100.0,0,0,1,0,
grlsKSLZ3V77,3,2017-03,Indoors,0,1,0,0,0,0,1,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,1,0,
grlsKSLZ3V77,4,2018-03,Both,0,1,0,0,1,1,0,1,0,,0.0,0.0,50.0,0.0,50.0,open space,100.0,0,0,1,0,
grlsKSLZ3V77,5,2019-04,Both,0,1,0,0,1,1,0,1,0,,0.0,0.0,100.0,0.0,0.0,,100.0,0,0,1,0,
grlsKSLZ3V77,6,2020-02,Both,0,1,0,0,1,1,1,1,0,,0.0,0.0,100.0,0.0,0.0,,100.0,0,0,1,0,
grlsKSPNFT22,0,2012-09,Indoors,0,1,1,0,1,0,1,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKSPNFT22,1,2013-09,Both,0,0,1,0,0,0,0,0,0,,0.0,0.0,100.0,0.0,0.0,,100.0,0,0,0,0,
grlsKSPNFT22,2,2014-09,Both,0,1,1,0,1,0,0,1,0,,0.0,0.0,75.0,25.0,0.0,,100.0,0,1,1,0,
grlsKSPNFT22,3,2015-08,Indoors,0,0,1,0,1,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKSPNFT22,4,2016-08,Indoors,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKSPNFT22,5,2017-08,Indoors,0,1,0,0,1,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKSPNFT22,7,2019-08,Indoors,0,1,1,0,1,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKT7FHXSS,0,2012-11,Indoors,1,1,1,0,1,0,1,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
